dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.914874,3.202104,1.929547,2.221525,0.278970,-0.207161,6.027329
0.020000,1.957891,3.190554,1.974087,2.227005,0.274029,-0.247060,6.014356
0.020000,2.000855,3.178411,2.018735,2.232370,0.268238,-0.289565,6.001077
0.020000,2.043753,3.165662,2.063487,2.237602,0.261564,-0.333714,5.987498
0.020000,2.086569,3.152296,2.108340,2.242681,0.253980,-0.379179,5.973630
0.020000,2.129286,3.138300,2.153292,2.247590,0.245469,-0.425572,5.959481
0.020000,2.171889,3.123665,2.198338,2.252309,0.235947,-0.476074,5.945062
0.020000,2.214359,3.108381,2.243475,2.256820,0.225536,-0.520564,5.930385
0.020000,2.256678,3.092440,2.288697,2.261105,0.214242,-0.564706,5.915464
0.020000,2.298828,3.075835,2.334000,2.265145,0.202007,-0.611715,5.900311
0.020000,2.340790,3.058560,2.379378,2.268923,0.188902,-0.655270,5.884943
0.020000,2.382543,3.040610,2.424826,2.272419,0.174774,-0.706426,5.869375
0.020000,2.424069,3.021983,2.470339,2.275617,0.159917,-0.742812,5.853624
0.020000,2.465347,3.002675,2.515909,2.278511,0.144709,-0.760393,5.837708
0.020000,2.506357,2.982688,2.561531,2.281082,0.128521,-0.809444,5.821644
0.020000,2.547079,2.962021,2.607197,2.283308,0.111318,-0.860146,5.805454
0.020000,2.587494,2.940678,2.652901,2.285207,0.094965,-0.817631,5.789155
0.020000,2.627581,2.918663,2.698636,2.286737,0.076496,-0.923438,5.772768
0.020000,2.667322,2.895980,2.744394,2.287932,0.059732,-0.838236,5.756314
0.020000,2.706698,2.872638,2.790169,2.288744,0.040586,-0.957300,5.739812
0.020000,2.745691,2.848643,2.835954,2.289219,0.023779,-0.840311,5.723284
0.020000,2.784284,2.824006,2.881740,2.289329,0.005481,-0.914903,5.706750
0.020000,2.822460,2.798737,2.927522,2.289074,-0.012727,-0.910431,5.690229
0.020000,2.860205,2.772848,2.973291,2.288487,-0.029382,-0.832732,5.673743
0.020000,2.897503,2.746352,3.019043,2.287559,-0.046400,-0.850901,5.657309
0.020000,2.934341,2.719263,3.064769,2.286302,-0.062850,-0.822487,5.640948
0.020000,2.970707,2.691595,3.110463,2.284729,-0.078608,-0.787932,5.624676
0.020000,3.006590,2.663365,3.156120,2.282858,-0.093559,-0.747506,5.608511
0.020000,3.041981,2.634587,3.201734,2.280706,-0.107620,-0.703089,5.592470
0.020000,3.076870,2.605279,3.247300,2.278252,-0.122699,-0.753925,5.576568
0.020000,3.111250,2.575458,3.292811,2.275586,-0.133276,-0.528879,5.560819
0.020000,3.145116,2.545141,3.338265,2.272667,-0.145953,-0.633833,5.545236
0.020000,3.178461,2.514345,3.383655,2.269544,-0.156147,-0.509688,5.529833
0.020000,3.211284,2.483088,3.428980,2.266202,-0.167127,-0.549006,5.514620
0.020000,3.243580,2.451388,3.474234,2.262710,-0.174608,-0.374063,5.499606
0.020000,3.270377,2.424659,3.512083,1.892447,-18.513124,-916.925815,5.500456
0.020000,3.297958,2.397315,3.550921,1.941915,2.473389,1049.325661,5.503775
0.020000,3.325601,2.370094,3.589717,1.939811,-0.105185,-128.928663,5.507214
0.020000,3.353310,2.342999,3.628471,1.937702,-0.105442,-0.012882,5.510774
0.020000,3.381086,2.316034,3.667183,1.935588,-0.105724,-0.014087,5.514455
0.020000,3.408932,2.289203,3.705852,1.933468,-0.105986,-0.013083,5.518256
0.020000,3.436850,2.262509,3.744479,1.931344,-0.106206,-0.011045,5.522180
0.020000,3.464844,2.235955,3.783064,1.929215,-0.106456,-0.012484,5.526224
0.020000,3.492916,2.209546,3.821605,1.927082,-0.106649,-0.009666,5.530391
0.020000,3.521068,2.183285,3.860104,1.924945,-0.106829,-0.008979,5.534680
0.020000,3.549302,2.157176,3.898560,1.922805,-0.107002,-0.008632,5.539091
0.020000,3.577622,2.131223,3.936973,1.920663,-0.107119,-0.005872,5.543624
0.020000,3.606028,2.105428,3.975344,1.918518,-0.107222,-0.005157,5.548280
0.020000,3.634524,2.079797,4.013671,1.916373,-0.107299,-0.003815,5.553059
0.020000,3.663112,2.054332,4.051956,1.914226,-0.107319,-0.001039,5.557960
0.020000,3.691793,2.029038,4.090197,1.912080,-0.107311,0.000417,5.562984
0.020000,3.720571,2.003918,4.128396,1.909935,-0.107268,0.002135,5.568130
0.020000,3.749446,1.978976,4.166552,1.907791,-0.107167,0.005065,5.573399
0.020000,3.778421,1.954217,4.204665,1.905651,-0.107015,0.007611,5.578791
0.020000,3.807499,1.929643,4.242735,1.903514,-0.106826,0.009421,5.584304
0.020000,3.836680,1.905260,4.280763,1.901383,-0.106571,0.012760,5.589939
0.020000,3.865967,1.881070,4.318748,1.899258,-0.106252,0.015955,5.595696
0.020000,3.895361,1.857077,4.356691,1.897140,-0.105882,0.018484,5.601573
0.020000,3.924864,1.833286,4.394591,1.895031,-0.105442,0.022043,5.607571
0.020000,3.954478,1.809700,4.432450,1.892933,-0.104930,0.025579,5.613689
0.020000,3.984204,1.786324,4.470267,1.890846,-0.104349,0.029068,5.619926
0.020000,4.014045,1.763160,4.508042,1.888772,-0.103690,0.032908,5.626282
0.020000,4.044000,1.740214,4.545777,1.886713,-0.102952,0.036940,5.632755
0.020000,4.074072,1.717488,4.583470,1.884670,-0.102138,0.040706,5.639346
0.020000,4.104262,1.694987,4.621123,1.882646,-0.101232,0.045279,5.646051
0.020000,4.134571,1.672714,4.658736,1.880641,-0.100236,0.049811,5.652872
0.020000,4.165001,1.650674,4.696309,1.878658,-0.099156,0.053983,5.659805
0.020000,4.195552,1.628869,4.733843,1.876698,-0.097990,0.058291,5.666851
0.020000,4.226225,1.607304,4.771338,1.874764,-0.096704,0.064293,5.674007
0.020000,4.257022,1.585983,4.808795,1.872857,-0.095335,0.068477,5.681272
0.020000,4.287943,1.564909,4.846215,1.870979,-0.093893,0.072094,5.688644
0.020000,4.318989,1.544085,4.883598,1.869133,-0.092293,0.079990,5.696122
0.020000,4.350161,1.523516,4.920944,1.867321,-0.090625,0.083388,5.703704
0.020000,4.381458,1.503205,4.958255,1.865543,-0.088879,0.087312,5.711387
0.020000,4.412883,1.483155,4.995531,1.863804,-0.086956,0.096162,5.719169
0.020000,4.444435,1.463370,5.032773,1.862104,-0.085007,0.097431,5.727048
0.020000,4.476114,1.443853,5.069982,1.860446,-0.082902,0.105264,5.735023
0.020000,4.507922,1.424607,5.107159,1.858832,-0.080698,0.110200,5.743089
0.020000,4.539857,1.405636,5.144304,1.857263,-0.078438,0.113009,5.751245
0.020000,4.570196,1.387940,5.179427,1.756130,-5.056662,-248.911195,5.759043
0.020000,4.594502,1.373990,5.207451,1.401226,-17.745191,-634.426469,5.765324
0.020000,4.609073,1.365725,5.224203,0.837615,-28.180573,-521.769097,5.769102
0.020000,4.614634,1.362590,5.230587,0.319192,-25.921149,112.971177,5.770547
0.020000,4.615591,1.362051,5.231686,0.054915,-13.213826,635.366170,5.770796
0.020000,4.615591,1.362051,5.231686,0.000000,-2.745767,523.402937,5.770796
=======
0.020000,0.009205,3.349879,0.003333,0.333333,16.666667,833.333333,6.256882
0.020000,0.021586,3.349540,0.015719,0.619272,14.296955,-118.485602,6.254924
0.020000,0.049614,3.348692,0.043760,1.402040,39.138395,1242.071996,6.250997
0.020000,0.088154,3.347347,0.082323,1.928182,26.307074,-641.566020,6.245577
0.020000,0.130199,3.345640,0.124403,2.103970,8.789395,-875.883954,6.239636
0.020000,0.172243,3.343682,0.166492,2.104477,0.025390,-438.200260,6.233666
0.020000,0.214284,3.341472,0.208592,2.104977,0.024988,-0.020091,6.227667
0.020000,0.256322,3.339009,0.250701,2.105469,0.024569,-0.020933,6.221640
0.020000,0.298353,3.336291,0.292820,2.105951,0.024134,-0.021755,6.215585
0.020000,0.340376,3.333318,0.334949,2.106425,0.023683,-0.022557,6.209503
0.020000,0.382390,3.330087,0.377087,2.106901,0.023803,0.005975,6.203395
0.020000,0.424393,3.326599,0.419234,2.107357,0.022810,-0.049629,6.197260
0.020000,0.466382,3.322852,0.461390,2.107802,0.022260,-0.027498,6.191100
0.020000,0.508356,3.318845,0.503555,2.108237,0.021745,-0.025746,6.184914
0.020000,0.550313,3.314577,0.545728,2.108671,0.021660,-0.004244,6.178704
0.020000,0.592251,3.310047,0.587910,2.109091,0.021020,-0.032025,6.172470
0.020000,0.634168,3.305255,0.630100,2.109493,0.020127,-0.044665,6.166213
0.020000,0.676061,3.300199,0.672297,2.109887,0.019671,-0.022755,6.159934
0.020000,0.717930,3.294878,0.714503,2.110281,0.019717,0.002278,6.153632
0.020000,0.759772,3.289292,0.756716,2.110649,0.018374,-0.067145,6.147309
0.020000,0.801585,3.283441,0.798936,2.111007,0.017930,-0.022198,6.140965
0.020000,0.843366,3.277322,0.841163,2.111365,0.017881,-0.002472,6.134602
0.020000,0.885115,3.270937,0.883397,2.111695,0.016502,-0.068916,6.128219
0.020000,0.926828,3.264284,0.925638,2.112022,0.016356,-0.007340,6.121817
0.020000,0.968504,3.257362,0.967884,2.112335,0.015623,-0.036629,6.115398
0.020000,1.010140,3.250172,1.010137,2.112627,0.014624,-0.049948,6.108962
0.020000,1.051735,3.242713,1.052395,2.112921,0.014678,0.002674,6.102509
0.020000,1.093286,3.234984,1.094659,2.113184,0.013149,-0.076415,6.096041
0.020000,1.134791,3.226985,1.136928,2.113448,0.013225,0.003767,6.089558
0.020000,1.176248,3.218716,1.179202,2.113686,0.011887,-0.066863,6.083062
0.020000,1.217655,3.210177,1.221480,2.113919,0.011650,-0.011840,6.076552
0.020000,1.259010,3.201367,1.263763,2.114130,0.010568,-0.054136,6.070030
0.020000,1.300310,3.192286,1.306049,2.114333,0.010133,-0.021746,6.063496
0.020000,1.341554,3.182935,1.348340,2.114515,0.009122,-0.050564,6.056952
0.020000,1.382738,3.173313,1.390634,2.114688,0.008655,-0.023307,6.050399
0.020000,1.423862,3.163421,1.432930,2.114840,0.007576,-0.053979,6.043836
0.020000,1.464923,3.153258,1.475230,2.114984,0.007204,-0.018616,6.037265
0.020000,1.505918,3.142825,1.517532,2.115103,0.005956,-0.062361,6.030688
0.020000,1.546846,3.132121,1.559836,2.115218,0.005764,-0.009618,6.024104
0.020000,1.587704,3.121148,1.602143,2.115307,0.004412,-0.067615,6.017514
0.020000,1.628491,3.109905,1.644450,2.115388,0.004076,-0.016791,6.010921
0.020000,1.669203,3.098394,1.686759,2.115448,0.002999,-0.053820,6.004323
0.020000,1.709840,3.086613,1.729069,2.115494,0.002308,-0.034563,5.997723
0.020000,1.750399,3.074565,1.771380,2.115526,0.001605,-0.035167,5.991122
0.020000,1.790878,3.062248,1.813690,2.115538,0.000569,-0.051775,5.984519
0.020000,1.831274,3.049665,1.856001,2.115541,0.000139,-0.021532,5.977917
0.020000,1.871586,3.036816,1.898312,2.115521,-0.000976,-0.055729,5.971315
0.020000,1.911812,3.023701,1.940621,2.115488,-0.001649,-0.033656,5.964716
0.020000,1.951949,3.010321,1.982930,2.115441,-0.002376,-0.036338,5.958119
0.020000,1.991996,2.996677,2.025238,2.115374,-0.003330,-0.047692,5.951526
0.020000,2.031951,2.982770,2.067544,2.115295,-0.003931,-0.030082,5.944937
0.020000,2.071811,2.968600,2.109848,2.115199,-0.004832,-0.045055,5.938354
0.020000,2.111576,2.954170,2.152149,2.115086,-0.005639,-0.040318,5.931778
0.020000,2.151242,2.939479,2.194449,2.114961,-0.006264,-0.031269,5.925208
0.020000,2.190808,2.924530,2.236745,2.114817,-0.007186,-0.046076,5.918647
0.020000,2.230273,2.909322,2.279038,2.114659,-0.007900,-0.035709,5.912095
0.020000,2.269633,2.893858,2.321328,2.114486,-0.008622,-0.036105,5.905553
0.020000,2.308889,2.878138,2.363614,2.114298,-0.009431,-0.040456,5.899021
0.020000,2.348037,2.862163,2.405896,2.114095,-0.010139,-0.035389,5.892501
0.020000,2.387076,2.845936,2.448173,2.113877,-0.010883,-0.037187,5.885994
0.020000,2.426005,2.829457,2.490446,2.113645,-0.011610,-0.036386,5.879499
0.020000,2.464821,2.812728,2.532714,2.113399,-0.012330,-0.036009,5.873019
0.020000,2.503524,2.795750,2.574977,2.113138,-0.013038,-0.035389,5.866554
0.020000,2.542111,2.778524,2.617234,2.112864,-0.013706,-0.033409,5.860105
0.020000,2.580581,2.761053,2.659486,2.112575,-0.014458,-0.037593,5.853671
0.020000,2.618933,2.743338,2.701731,2.112273,-0.015075,-0.030853,5.847256
0.020000,2.657164,2.725380,2.743970,2.111959,-0.015718,-0.032138,5.840858
0.020000,2.695274,2.707181,2.786203,2.111629,-0.016486,-0.038402,5.834479
0.020000,2.733262,2.688742,2.828429,2.111289,-0.016989,-0.025152,5.828119
0.020000,2.771125,2.670066,2.870647,2.110936,-0.017669,-0.033995,5.821780
0.020000,2.808863,2.651154,2.912859,2.110569,-0.018339,-0.033506,5.815461
0.020000,2.846473,2.632007,2.955063,2.110193,-0.018794,-0.022732,5.809164
0.020000,2.883956,2.612628,2.997259,2.109802,-0.019553,-0.037978,5.802890
0.020000,2.921310,2.593019,3.039447,2.109402,-0.020013,-0.022977,5.796638
0.020000,2.958533,2.573180,3.081626,2.108991,-0.020514,-0.025029,5.790410
0.020000,2.995625,2.553115,3.123798,2.108566,-0.021292,-0.038908,5.784206
0.020000,3.032584,2.532825,3.165960,2.108135,-0.021523,-0.011590,5.778026
0.020000,3.069410,2.512311,3.208114,2.107690,-0.022263,-0.036984,5.771873
0.020000,3.106101,2.491576,3.250259,2.107237,-0.022654,-0.019552,5.765744
0.020000,3.142657,2.470622,3.292394,2.106776,-0.023067,-0.020625,5.759643
0.020000,3.179076,2.449450,3.334520,2.106300,-0.023783,-0.035822,5.753568
0.020000,3.215358,2.428063,3.376637,2.105823,-0.023856,-0.003659,5.747521
0.020000,3.251502,2.406462,3.418743,2.105328,-0.024746,-0.044471,5.741502
0.020000,3.287507,2.384650,3.460840,2.104833,-0.024737,0.000431,5.735512
0.020000,3.323372,2.362628,3.502927,2.104324,-0.025447,-0.035504,5.729550
0.020000,3.359097,2.340399,3.545003,2.103811,-0.025645,-0.009897,5.723618
0.020000,3.394681,2.317965,3.587069,2.103289,-0.026108,-0.023123,5.717715
0.020000,3.430124,2.295327,3.629124,2.102760,-0.026463,-0.017792,5.711843
0.020000,3.465424,2.272487,3.671168,2.102225,-0.026739,-0.013779,5.706002
0.020000,3.500581,2.249449,3.713202,2.101681,-0.027179,-0.022014,5.700191
0.020000,3.535595,2.226213,3.755225,2.101134,-0.027354,-0.008733,5.694412
0.020000,3.570466,2.202782,3.797236,2.100579,-0.027780,-0.021301,5.688664
0.020000,3.605192,2.179157,3.839237,2.100019,-0.027965,-0.009269,5.682949
0.020000,3.639774,2.155342,3.881226,2.099454,-0.028253,-0.014375,5.677265
0.020000,3.674211,2.131337,3.923203,2.098883,-0.028586,-0.016679,5.671615
0.020000,3.708503,2.107146,3.965170,2.098311,-0.028585,0.000052,5.665997
0.020000,3.742649,2.082769,4.007124,2.097726,-0.029231,-0.032260,5.660412
0.020000,3.776650,2.058210,4.049067,2.097150,-0.028838,0.019655,5.654861
0.020000,3.810505,2.033469,4.090998,2.096554,-0.029767,-0.046473,5.649343
0.020000,3.844213,2.008550,4.132918,2.095968,-0.029305,0.023101,5.643859
0.020000,3.877776,1.983454,4.174825,2.095373,-0.029738,-0.021646,5.638409
0.020000,3.911191,1.958184,4.216720,2.094773,-0.030027,-0.014465,5.632993
0.020000,3.944461,1.932740,4.258604,2.094178,-0.029725,0.015119,5.627612
0.020000,3.977584,1.907126,4.300475,2.093570,-0.030422,-0.034880,5.622265
0.020000,4.010560,1.881343,4.342335,2.092966,-0.030190,0.011606,5.616952
0.020000,4.043390,1.855394,4.384182,2.092364,-0.030107,0.004184,5.611674
0.020000,4.076074,1.829279,4.426017,2.091748,-0.030775,-0.033427,5.606431
0.020000,4.108611,1.803002,4.467840,2.091139,-0.030451,0.016197,5.601223
0.020000,4.141002,1.776564,4.509650,2.090532,-0.030381,0.003486,5.596050
0.020000,4.173246,1.749967,4.551449,2.089917,-0.030755,-0.018655,5.590911
0.020000,4.205345,1.723214,4.593235,2.089300,-0.030859,-0.005226,5.585808
0.020000,4.237297,1.696305,4.635009,2.088688,-0.030553,0.015299,5.580740
0.020000,4.269104,1.669243,4.676770,2.088077,-0.030593,-0.002012,5.575707
0.020000,4.300766,1.642031,4.718519,2.087458,-0.030918,-0.016242,5.570710
0.020000,4.332282,1.614668,4.760256,2.086840,-0.030897,0.001053,5.565747
0.020000,4.363654,1.587159,4.801981,2.086228,-0.030635,0.013091,5.560820
0.020000,4.394880,1.559504,4.843693,2.085615,-0.030636,-0.000026,5.555927
0.020000,4.425963,1.531705,4.885393,2.085002,-0.030627,0.000431,5.551070
0.020000,4.455529,1.505009,4.925228,1.991764,-4.661936,-231.565461,5.546461
0.020000,4.479669,1.483029,4.957876,1.632387,-17.968809,-665.343621,5.542707
0.020000,4.494691,1.469267,4.978248,1.018618,-30.688484,-635.983738,5.540375
0.020000,4.500827,1.463628,4.986582,0.416670,-30.097388,29.554761,5.539423
0.020000,4.502019,1.462531,4.988202,0.081026,-16.782206,665.759101,5.539238
0.020000,4.502019,1.462531,4.988202,0.000000,-4.051293,636.545655,5.539238
>>>>>>> afe908a18490148d6a80eaad2f52452d29409516
